01.04.2016;67,5
02.04.2016;67,65899
03.04.2016;67,65899
04.04.2016;68,65
05.04.2016;68,75
06.04.2016;67,85
07.04.2016;68,03
08.04.2016;67,075
09.04.2016;67,15916
10.04.2016;67,15916
11.04.2016;66,75
12.04.2016;65,185
13.04.2016;65,99
14.04.2016;65,93
15.04.2016;66,5
18.04.2016;66,45
19.04.2016;65,88
20.04.2016;65,675
21.04.2016;66,66
22.04.2016;66,76
25.04.2016;66,56
26.04.2016;65,765
27.04.2016;65,11
28.04.2016;64,56
29.04.2016;65,6775
30.04.2016;64,68305
02.05.2016;64,93506
03.05.2016;66,35
04.05.2016;66,584
05.05.2016;65,974
06.05.2016;65,862
09.05.2016;66,29
10.05.2016;66,096
11.05.2016;65,045
12.05.2016;64,83
13.05.2016;65,482
16.05.2016;64,884
17.05.2016;64,719
18.05.2016;65,745
19.05.2016;66,72
20.05.2016;66,845
22.05.2016;66,71114
23.05.2016;66,787
24.05.2016;66,41
25.05.2016;65,425
26.05.2016;65,825
27.05.2016;66,15
29.05.2016;65,83278
30.05.2016;65,669
31.05.2016;66,827
01.06.2016;66,91
02.06.2016;67,06
03.06.2016;65,654
06.06.2016;65,24
07.06.2016;64,62
08.06.2016;63,7189
09.06.2016;64,196
10.06.2016;65,302
13.06.2016;65,685
14.06.2016;66,06
15.06.2016;65,253
16.06.2016;65,575
17.06.2016;64,75
19.06.2016;64,76683
20.06.2016;64,265
21.06.2016;63,936
22.06.2016;64,769
23.06.2016;63,765
24.06.2016;65,2875
27.06.2016;65,4
28.06.2016;64,04
29.06.2016;63,815
30.06.2016;63,96
01.07.2016;63,79
02.07.2016;63,8162
04.07.2016;63,83
05.07.2016;64,435
06.07.2016;64,265
07.07.2016;64,679
08.07.2016;63,835
09.07.2016;63,85696
11.07.2016;64,18
12.07.2016;63,8
13.07.2016;63,85
14.07.2016;62,8875
15.07.2016;63,34
16.07.2016;63,49206
18.07.2016;62,812
19.07.2016;63,628
20.07.2016;63,8
21.07.2016;64,368
22.07.2016;64,815
25.07.2016;65,436
26.07.2016;65,8
27.07.2016;65,7975
28.07.2016;66,583
29.07.2016;65,9875
30.07.2016;65,96306
01.08.2016;66,93
02.08.2016;66,71
03.08.2016;66,2
04.08.2016;65,71
05.08.2016;65,547
08.08.2016;64,6
09.08.2016;64,76
10.08.2016;64,9
11.08.2016;64,35
12.08.2016;64,827
14.08.2016;64,3608
15.08.2016;64,0077
16.08.2016;63,8349
